,CASP biorep1 400min,CASP biorep1 511min,CASP biorep1 621min,EXP biorep2
sapF,420,240,384,254
sbcD,23,37,25,170
yggU,38,22,30,242
ralR,1,2,3,4
yahC,47,33,34,12
argE,1062,1430,1334,419
sapA,970,1256,1255,711
ompR,3367,8049,6235,1172
hdeB,2571,186,144,579
hemY,1158,568,546,1901
artM,1635,105,188,1015
rhsB,237,148,209,149
artQ,1870,151,232,902
bglA,939,1198,1034,1430
HQ24_RS22600,0,0,0,2
rnd,218,239,192,1177
dmsA,84,109,102,90
ybhN,524,120,176,92
phnG,2,0,0,1
pyrL,75,29,42,37
yfhH,185,568,375,300
yhgF,93,28,23,1845
fadR,388,638,517,1628
HQ24_RS25520,18,8,8,10
ybaK,85,151,88,121
hycD,10,8,2,9
ilvX,9,48,15,6
hyuA,30,12,11,24
ydiT,3,5,2,9
yhaH,1144,1007,1478,324
ispH,202,146,128,1371
HQ24_RS02570,27,16,17,30
rpmB,840,831,630,10859
paaA,28,24,31,52
ydcI,853,817,675,4614
HQ24_RS03465,40,42,21,11
cusS,100,55,40,222
ecpB,5,7,9,26
HQ24_RS25840,176,107,111,524
aes,132,151,125,49
ptsI,20123,32379,26163,15142
queG,382,87,116,236
ynfE,127,99,119,53
HQ24_RS09855,34,63,35,222
yacH,103,33,67,19
HQ24_RS02780,47,21,47,57
yoaJ,1,0,2,6
fimG,13,10,11,23
yihD,80,78,73,55
potI,227,95,95,442
uacT,15,3,3,5
zntB,3143,2060,2370,500
HQ24_RS15150,211,364,310,5729
HQ24_RS08040,30,24,36,30
yfdV,64,67,66,25
ysdE,9,5,12,2
hslO,1377,1694,1222,1162
phoP,1173,1028,1141,839
ygcO,0,4,3,9
yieF,323,319,186,383
narI,860,113,170,194
yggN,810,574,479,909
HQ24_RS14820,619,327,328,846
rlpA,901,1493,1077,1984
rplM,751,970,508,16454
ycbF,38,23,26,36
ynfU,1,2,2,42
fdoI,2047,1425,2618,4265
ydjL,29,22,10,141
rssB,6550,8447,7445,1070
yjgH,404,222,213,103
HQ24_RS25950,166,118,107,164
yccX,447,320,585,42
ygfS,40,60,43,35
potA,150,52,59,1070
hyfG,201,88,102,80
yaiP,150,73,55,11
fepC,30,4,7,462
frsA,567,1010,632,454
yiaD,22,19,19,102
hybD,125,115,85,273
yiaW,69,19,23,7
uspF,2081,3267,3804,1244
ssuA,5,5,11,10
rpmG,292,214,158,3645
waaH,59,38,29,55
HQ24_RS20610,26,52,39,22
gnsB,33,17,11,193
yfdC,1584,915,1231,155
fghA,102,56,49,156
aidB,2080,2083,1729,317
nikE,18,12,11,31
HQ24_RS18920,7,4,1,2
HQ24_RS03460,61,48,33,362
mgtA,192,148,123,3085
glyS,1159,1305,971,7526
HQ24_RS20140,1162,780,1288,141
bhsA,71,50,139,6
cadC,449,137,225,72
holE,155,103,144,141
HQ24_RS26590,0,0,0,0
mrdB,259,345,261,734
yodB,7,12,8,27
trpD,70,65,60,2260
glk,1597,1825,1805,1802
ypjF,5,12,3,8
fklB,168,268,136,1848
HQ24_RS26190,60,48,22,80
yrbG,584,525,433,328
yegJ,37,29,41,15
ygiZ,5,4,5,2
lptE,1132,1333,1062,1218
yiaV,124,96,78,19
pepQ,2100,606,934,2404
HQ24_RS05290,344,316,174,858
glsB,37,47,35,420
yhaJ,247,506,397,630
yciA,47,21,34,136
coaBC,139,226,165,799
metQ,290,396,239,2014
selA,221,91,99,672
YFP,70673,23754,47417,94464
ansA,124,59,43,1224
mntR,336,159,271,160
ecpE,94,33,54,37
yhfW,8,8,9,11
yeaR,17,20,13,15
selB,206,68,68,961
fdhE,863,1124,1209,3394
frdC,228,728,384,555
HQ24_RS23725,28,21,16,16
intA,401,309,357,320
HQ24_RS12150,10,7,9,2
ybjG,98,117,98,537
sirB1,429,375,287,986
HQ24_RS22675,201,116,141,109
yeiI,77,85,49,405
melB,415,196,190,118
ccmC,26,40,18,127
glcA,1659,962,788,1261
lsrA,712,88,83,1617
htpX,2569,4831,3759,3373
treR,101,128,88,108
seqA,375,958,639,980
uxuB,294,609,506,1324
HQ24_RS21455,13,5,17,7
rihB,18,26,32,12
yhbE,1521,1753,2370,1573
rpsC,1033,1775,635,29527
hisH,150,48,53,742
yifK,413,330,628,674
emrY,73,68,60,20
ybjL,1030,929,837,760
ybeL,4757,4466,5433,624
gutM,54,30,34,33
cobC,105,25,33,250
pmrB,657,461,515,253
rpsF,454,347,286,14689
prlF,662,239,349,94
metI,102,84,73,416
HQ24_RS22070,260,231,242,349
nlpD,7093,14975,12194,16710
ytfF,381,361,308,231
bglH,23,28,19,13
ymfA,6,1,2,56
hisC,336,76,78,1233
nudF,306,279,225,406
fdnH,15,66,25,35
cyoB,586,642,700,20150
HQ24_RS26580,1,0,2,2
kdgR,1085,370,901,915
ypeB,63,28,37,87
fucO,199,324,181,490
mscS,1295,2664,2481,679
HQ24_RS22515,77,33,52,94
iscR,2852,3486,2852,2508
rstA,222,158,119,1427
torZ,128,96,95,166
yjjV,343,182,138,286
nanY,330,68,175,462
yhiM,90,48,94,35
tmk,166,124,76,337
yncG,903,845,690,133
araG,522,401,604,921
rlmB,691,437,402,536
ybjD,1327,1091,1684,329
gcl,476,381,342,51
lapB,726,562,417,1030
yphE,191,144,144,47
cyoA,594,924,780,12685
fliN,10,6,3,2986
ybcF,22,6,16,17
ydiN,40,20,19,11
ynaI,76,99,99,234
ispC,861,452,454,1124
ansP,35,31,32,120
lpdA,1824,1269,1314,19096
hmsP,1352,465,580,831
HQ24_RS26365,0,1,1,1
nrfG,14,8,9,15
mcbA,8494,2170,5142,21
yjeM,301,330,286,89
tdk,152,143,139,309
yafN,360,157,219,101
phoR,367,147,180,228
yjiN,1457,1274,1125,236
HQ24_RS16365,0,0,0,0
HQ24_RS26005,15,36,24,19
glpB,19,14,22,34
accB,272,232,198,4800
yggP,103,138,131,41
murE,602,67,139,1733
gutQ,223,174,136,546
tehB,138,79,73,526
insQ,407,323,248,685
thiS,17,7,4,44
ybgD,10,1,4,7
kbl,2744,4294,3276,2639
ynbE,117,92,113,60
lptG,2382,1939,2369,1264
hns,25865,27143,29667,14379
HQ24_RS18175,13,7,7,56
cusC,9,6,10,8
mepM,570,392,401,2993
ninE,0,2,0,1
proQ,1502,1893,1062,5903
ybiJ,128,160,205,20
HQ24_RS26245,50,26,23,120
chpS,20,21,45,11
rsxB,37,120,58,772
gmhB,230,194,180,472
bcsB,85,46,34,260
ygcU,41,13,17,54
ygeH,10,7,10,4
nanT,2378,1361,2472,747
fixA,14,11,10,16
mog,432,500,430,458
ydhQ,4825,2288,3470,1903
ygiF,576,827,518,930
lolC,99,37,30,822
yggE,4306,6964,5213,1270
psiF,3406,4456,4277,223
proC,881,2028,1678,672
rna-HQ24_RS20420,2833,423,9356,3074
ldcC,2375,1215,1776,668
narU,2821,629,700,308
ygbJ,212,267,245,37
rplK,373,945,419,8575
yhdJ,42,14,21,77
chbA,87,26,58,67
proS,2134,5439,3695,5550
yohF,3252,2578,3361,125
yhbQ,26,21,15,28
pldA,92,107,67,562
tsgA,38,44,35,176
speF,35,18,26,23
sufD,3019,1117,2534,817
greA,231,383,194,1131
dcuB,38,30,23,50
zapA,2665,2313,3313,873
yjbH,150,87,72,135
yibL,571,519,821,315
mug,1008,1064,855,290
typA,2823,4543,2698,6267
glyQ,572,1163,630,3475
arsC,348,235,240,551
creC,177,94,81,299
nagC,959,517,733,1087
HQ24_RS13640,194,33,82,292
ycgJ,81,28,49,103
abpA,642,374,292,744
grxC,867,606,600,1409
rplO,3312,7059,2645,29150
higA,91,152,100,48
HQ24_RS15000,39,18,84,132
puuR,660,1307,1411,367
guaD,138,42,74,105
glnL,691,768,893,343
yddG,29,50,25,89
dsbC,357,272,269,732
HQ24_RS26275,10,4,7,8
HQ24_RS26615,43,76,86,1
iraP,107,108,102,272
yjiL,70,6,7,26
ydhW,39,28,23,45
ykgJ,15,25,27,14
nadA,1062,1228,1116,1061
soxS,419,695,530,128
HQ24_RS23185,52,35,21,126
dnaC,419,202,196,349
nrdG,349,95,108,25
paaC,52,32,45,175
ybhI,21,25,14,21
rlmC,69,73,40,217
ybdM,46,37,65,41
bamA,2703,2059,1591,13766
dinD,213,103,202,308
lspA,259,160,128,1034
ylbG,25,32,19,36
HQ24_RS15300,746,760,569,552
elyC,55,39,43,110
ibsC,9,6,7,72
ydfZ,8,8,7,36
kbp,22537,4606,8126,910
yjjI,16,10,13,19
pta,4373,410,891,6037
HQ24_RS24515,39,17,32,16
hisM,229,19,49,782
ebgR,104,42,71,418
HQ24_RS01925,318,252,241,89
tdcG,88,72,76,84
tilS,330,198,151,555
HQ24_RS14850,385,250,269,1115
HQ24_RS14920,88,51,48,27
wza,5,5,9,18
HQ24_RS02880,10,5,7,4
HQ24_RS14700,7,1,3,9
rhmD,397,83,236,127
ruvC,313,259,163,1311
yebT,1415,303,294,1485
HQ24_RS01095,61,31,57,19
HQ24_RS05355,38,37,31,8
yneJ,229,323,234,170
hemB,304,550,406,682
ltaE,1283,464,502,796
pspC,780,4447,2888,102
purD,139,131,133,1658
ilvB,1948,1926,1292,1213
rstB,234,62,57,1614
metH,539,497,433,2105
ydjZ,147,150,128,41
prkB,727,540,487,547
yiiG,28,13,12,27
yjfZ,22,10,11,14
yphF,212,165,216,30
ppiD,752,1458,876,5062
rpnC,34,11,22,49
tldD,4566,10260,8109,1684
hlyE,118,23,39,37
paaK,46,15,24,75
hemA,777,793,560,1226
gabD,1921,1048,1193,1280
ruvB,833,1131,782,1410
rprA,13,6,8,5
gshA,4635,2070,2391,3649
ppdA,12,21,6,33
ydhI,91,35,35,68
ynfM,248,119,158,168
fhuD,131,19,20,440
rna-HQ24_RS23520,0,0,0,0
adeD,358,283,404,200
menD,648,208,283,1081
mlc,523,606,533,1132
chpB,229,365,275,87
qorA,4563,7450,7848,558
eutK,72,94,80,111
rpoH,3450,11901,4312,2612
emrR,54,30,34,1040
yidB,638,963,731,72
yjbG,1,3,0,6
macB,556,229,310,487
yadH,785,569,642,477
thiB,23,25,27,239
yiiS,1070,1218,1040,65
yceD,1090,1771,1202,10147
ccp,281,158,211,103
ydjJ,26,15,22,80
HQ24_RS14780,41,28,45,27
dsbE,28,27,16,115
csgB,27,14,25,16
repE,184,174,149,562
ydcF,343,306,359,458
yiaO,9,7,9,56
yfdY,1019,1179,1046,89
bluF,247,120,82,1311
mak,1103,1464,1355,379
ydaU,150,179,219,46
zur,126,159,140,278
HQ24_RS26900,4,4,5,7
ddpD,230,36,29,774
hisG,260,85,102,1130
nupX,50,29,21,39
HQ24_RS24660,4,3,3,2
ampC,73,57,49,238
ibpB,73,56,68,78
ilvC,231,335,297,1317
hemN,2331,633,843,1265
rhlE,61,26,17,296
traE,85,27,27,2371
ydfK,155,122,124,1036
ssb1,1923,3531,3289,1345
dcd,513,907,511,1195
entE,303,101,222,1841
psiB,66,15,49,27
ubiE,1077,612,593,1871
yfcO,1046,935,1020,488
yhfA,421,364,399,502
ydhR,688,600,620,454
ydcK,2621,2097,2452,205
HQ24_RS00405,1,2,0,13
HQ24_RS26905,1,0,0,8
cusA,171,91,82,95
tomB,2775,2241,2597,577
hxpA,1119,1441,1203,670
HQ24_RS26655,4,8,9,94
rnk,163,198,143,904
ubiC,509,531,657,301
potF,2050,1400,1256,1890
miaB,1001,1550,1399,1693
nadR,1643,694,1127,736
HQ24_RS24650,1,0,0,3
gfcD,24,15,16,37
traI,1505,878,903,9886
dsbA,582,579,555,1426
yciW,28,35,24,160
map,776,1657,1117,1982
ydbH,583,315,313,792
HQ24_RS01045,3,3,0,19
cysW,74,95,43,54
fumD,330,71,150,92
cysD,94,170,90,237
sgrT,71,25,45,19
yfhM,3402,1129,1938,2731
yeeN,80,69,54,628
kbaZ,107,348,240,170
HQ24_RS26625,31,10,14,11
mazE,211,193,218,179
gntP,181,860,708,285
yfeK,55,48,49,83
argD,1090,141,141,334
ycaN,42,32,36,21
nsrR,626,282,541,930
xerC,72,100,35,471
ydcO,164,202,156,211
ydeQ,21,22,26,9
fimF,12,26,15,34
HQ24_RS10270,255,306,261,777
marR,21,33,32,60
ytfB,2117,2442,2392,532
tmaR,1344,1068,1067,1198
dgcZ,499,262,364,235
manA,255,163,209,1261
ysgA,1690,802,821,793
ypeA,594,529,358,318
yohK,753,1643,1069,72
cas5e,58,23,30,64
ygiM,430,330,169,1653
tsaC,535,472,471,719
lsrB,606,23,42,1770
lacI,4270,4398,3600,13271
ydiP,95,46,68,74
dgkA,445,845,505,274
dgcM,2822,267,752,1302
yeeA,2188,1310,1281,958
stpA,34,26,27,59
gmd,20,6,9,42
yhdZ,177,77,97,203
dxs,296,268,176,2823
eutT,9,27,31,40
yqjG,3107,3880,4603,292
htpG,934,525,792,2479
fabZ,513,320,308,1586
purC,27,32,30,3776
slyA,1509,906,1384,694
moeA,367,736,584,566
bamD,504,227,246,4373
garL,122,88,129,37
mntH,27527,38560,41079,1367
fliM,12,6,9,11649
nudG,19,23,19,78
HQ24_RS12190,8,4,4,1
ybdD,1008,395,471,772
yfeZ,289,317,197,311
rnhB,86,21,15,775
mntS,3503,9356,7157,940
bsmA,5880,17349,11139,394
HQ24_RS14730,2,2,2,1
ycdZ,577,1184,921,678
rclC,26,16,14,19
serC,1429,1823,1354,2177
ydjY,13,17,23,20
lexA,6439,10134,9376,2801
sdaB,101,106,94,2104
ybeZ,4636,4814,4865,1456
yihO,331,254,317,23
rutE,5,2,4,2
mddA,192,199,172,182
rimM,829,1141,594,17096
HQ24_RS16235,100,79,69,45
sbmA,404,274,281,363
tsr,252,330,277,2942
rimO,32,40,27,767
lptF,2311,4048,3317,1165
csgD,270,113,143,926
HQ24_RS26510,2,0,2,4
dadA,15534,28927,18209,9673
ggt,1312,328,385,2093
rclR,48,88,43,35
ypfG,35,34,29,101
aceF,2211,776,1342,7800
agaR,530,376,361,765
HQ24_RS26940,0,0,0,0
nrdI,1232,1334,516,112
ynfL,163,252,179,89
ysaA,13,10,7,80
cysI,93,68,49,112
bamC,872,808,551,6586
yddA,10,10,7,32
intF,230,140,129,167
hcaD,133,71,84,176
paaG,13,4,5,45
ptrA,394,313,242,2040
ybcM,815,716,794,104
ycgR,92,162,137,594
yfgO,191,355,206,574
ybeR,1,4,2,1
gyrA,870,793,737,10671
argR,1537,753,655,620
btsS,239,176,139,1138
yagL,10,7,5,22
hyfC,3,1,3,3
HQ24_RS14725,23,10,26,4
aroA,244,102,89,869
betA,438,173,184,433
intR,344,262,431,97
yadE,399,199,197,204
yjdP,53,52,57,86
yecV,39,38,49,48
zapC,631,548,392,663
fdhD,1312,1006,1035,269
ypfN,1858,1094,1465,259
rna-HQ24_RS13405,1626,207,4603,1593
HQ24_RS08855,7,3,4,14
yafE,547,223,286,160
ompN,31,37,27,22
atpH,343,164,84,8997
ppiC,54,85,59,281
fliO,11,4,6,2621
hisJ,1897,866,894,3854
yjfK,5,11,7,10
ygjK,62,24,31,76
degP,1266,1364,890,1957
traW,43,22,17,1818
dsdA,125,123,149,183
nusA,3157,3955,3021,7371
ubiA,598,1467,1023,304
yqaE,408,235,334,55
frvX,51,16,18,20
rbsD,1495,938,1322,1826
yfaP,96,39,67,32
helD,1346,1440,1371,751
ynbD,118,76,73,142
gspI,1,3,0,3
nrfF,6,3,8,10
ymiA,39,34,11,10
rpsA,17531,18171,20075,68559
HQ24_RS26170,5,2,0,0
HQ24_RS01540,2,3,2,1
hyfJ,20,4,1,11
mngR,79,177,235,103
paaB,10,7,4,19
csiR,336,140,146,354
metG,334,300,244,4499
yciO,1204,1996,1820,338
ydgK,75,183,124,501
yqgA,225,291,216,70
rplR,795,2451,875,12686
grpE,1200,843,939,2171
yjbD,226,254,221,207
secF,1088,1140,915,2698
fbpC,13,9,10,23
cra,951,1152,826,2296
yciT,146,86,79,929
emrA,173,127,80,640
ygiL,4,3,3,24
yibA,318,108,204,56
ybaN,181,199,150,323
ybdR,480,296,305,146
yaeH,2089,2391,2049,913
ymgA,298,222,296,32
amiD,2166,2090,2324,404
mqsR,1293,1899,3208,195
purB,52,26,17,3252
asnS,1494,3355,2238,6309
kdgT,53,90,85,105
idnK,90,48,56,24
dppC,18,26,19,1894
nohD,11,13,9,13
tqsA,251,299,310,101
yahE,24,16,20,19
ldtA,3241,3702,5401,489
shiA,382,94,130,891
ynfB,178,109,132,388
allA,35,50,40,30
fumB,2164,2105,2546,10831
yfcL,37,39,17,324
yedJ,410,224,270,230
idnT,132,97,61,123
HQ24_RS22820,27,24,18,82
HQ24_RS14845,786,311,466,602
hcaC,18,20,13,35
nupG,3225,5072,5922,1730
HQ24_RS10185,35,33,46,178
HQ24_RS24710,22,8,9,10
HQ24_RS13820,26,39,20,88
ispB,1758,1474,1090,2565
HQ24_RS10770,8326,1002,1485,78465
yjjB,30,23,40,25
rplD,594,1581,395,25945
anmK,256,234,227,486
gntU,121,63,51,92
dusB,239,277,147,4096
glpG,187,152,116,679
cobB,376,280,319,858
rpsN,2204,5580,2247,23300
xdhB,34,21,28,94
yqiH,5,2,2,9
HQ24_RS01850,59,46,47,4
rssA,2440,1114,1581,1375
mqo,187,135,280,649
napC,41,49,30,100
HQ24_RS12370,4,2,2,11
ykfF,4,2,4,4
yohD,1376,885,806,357
purK,22,12,3,1830
yfcZ,2018,1508,1749,221
dtpC,40,14,14,45
epmB,315,267,201,731
yfdM,0,0,0,1
yhhH,2,3,8,6
HQ24_RS26725,3,5,4,46
nanR,227,161,154,487
yffB,74,259,201,125
HQ24_RS15915,278,365,306,939
cof,296,348,335,190
serB,172,224,164,914
yiaM,3,1,1,6
ylaC,149,192,127,485
rpnE,18,9,13,12
lgt,154,80,91,1491
ilvE,201,295,267,556
rnc,3366,3301,3752,1513
yddE,279,271,154,523
mfd,841,596,556,2149
yibG,20,12,10,4
yigF,4,11,15,8
ykfC,197,229,140,130
ymiD,26,27,31,11
ygjR,3952,2915,3341,985
fimA,210,241,183,1400
rplI,795,710,462,14461
paoC,924,466,676,194
ydjE,99,99,91,121
metJ,1652,774,930,419
galM,910,1425,814,1616
rffG,149,107,85,1070
yhjJ,454,262,195,2516
appY,230,104,107,22
ycfP,1992,2881,2170,704
caiF,153,245,191,121
argT,5482,5828,4827,5416
ccmB,18,12,8,69
narZ,3549,154,476,1382
uxaC,232,362,254,614
yebW,979,493,569,127
HQ24_RS07025,9,6,6,13
HQ24_RS15040,36,12,7,1339
dsdX,26,30,23,36
HQ24_RS15135,80,107,71,3432
mdtQ,8,9,6,22
mlaD,433,513,483,833
mscM,254,103,90,1154
artP,3629,1803,1651,801
celF,88,111,73,104
cobT,269,186,160,579
ynhF,74,81,134,74
elaB,15219,20257,14266,2584
yejG,5332,4985,5702,1055
mdh,4247,5539,4189,20117
ydgD,4264,5076,5429,596
napH,14,12,10,103
dpaL,19,4,11,27
rplQ,1065,937,574,16610
yidH,138,74,67,67
fabF,3533,2588,2101,10401
glgX,2309,1430,1743,2253
lpxD,2829,3123,2379,5317
mrdA,155,96,91,1402
yjhI,110,146,212,43
metF,91,44,15,209
ppiB,1780,2215,1458,1930
sucA,1684,226,513,30630
tsx,1022,1016,1091,4632
secM,178,236,187,918
ygdD,213,230,146,173
ubiT,781,1419,892,600
yhaK,76,76,86,37
ydfJ,490,430,492,48
dacD,148,87,125,120
ybgO,29,34,44,7
cas6e,74,41,52,85
pdeH,185,335,248,1329
topB,384,71,94,2621
upp,18,61,37,1477
yhcA,6,10,5,2
ybiI,425,441,556,62
yhaV,1500,565,739,274
HQ24_RS26650,1,0,0,0
lysO,44,17,30,296
ycjQ,23,19,18,51
fixX,1,1,3,4
yohJ,410,847,681,28
uidR,622,359,439,564
gstA,3624,5470,4664,684
abrB,24,7,16,31
cmk,2252,6859,4620,2180
fimB,33,25,18,129
priA,94,96,57,698
HQ24_RS26215,0,0,1,0
lplA,68,73,46,307
yeiS,25,7,15,50
ygcS,29,19,7,37
HQ24_RS19950,29,23,11,253
malG,75,25,50,1283
kdsC,1711,1586,1532,841
cpdB,215,245,179,1195
pmbA,3015,2187,2779,1198
ygaM,13320,5605,8533,903
dinB,1604,1099,1105,311
emrK,184,198,200,7
dicC,1,2,0,1
folD,155,296,191,1499
HQ24_RS12415,2,0,0,4
ygfZ,1778,3677,2371,1685
yegU,53,42,38,214
dauA,87,117,76,419
ypdB,690,1367,1147,226
flgE,22,18,9,22618
argL,0,1,2,0
recE,223,139,225,69
ybgI,730,699,609,703
tolQ,313,545,327,1050
cysN,375,365,301,212
yahJ,113,202,160,173
yjcS,12,5,5,5
dctA,3164,8854,6891,20167
priC,177,220,133,140
rlmD,686,680,616,857
HQ24_RS01030,18,19,3,154
hdeD,1220,241,188,180
kptA,66,64,56,56
betT,991,458,795,515
sdaA,7281,28250,20618,5350
tas,1201,1981,1583,1799
tpiA,5223,7061,4323,2816
feoA,109,268,165,104
ygcG,12,7,20,15
yieL,16,18,13,19
yjiT,167,93,85,411
atoB,58,37,37,39
fadB,6181,8368,7665,8135
fucK,95,41,70,230
cusF,13,15,19,2
rna-HQ24_RS23545,2,1,1,23
eutJ,19,14,22,8
yadM,42,49,37,10
gspK,7,0,3,10
envZ,1905,1210,1135,1248
thyA,155,133,89,1872
HQ24_RS14840,425,219,259,168
qseE,489,313,292,520
aceB,4847,3857,3759,1372
bdcA,20,25,28,26
intZ,148,123,123,658
rfaJ,209,176,204,402
yejK,193,287,207,1133
yjfJ,11,12,13,18
yhbP,32,53,23,120
yqjE,1552,3224,1887,1258
ppsA,2537,562,730,21431
srlR,198,251,180,352
ybcV,2,4,2,2
yihI,3082,2187,2473,643
yraJ,74,36,58,76
tcyJ,5827,10084,10824,4590
trmD,1430,2148,1215,26626
yghW,101,86,57,26
djlB,8,7,10,19
msrP,2911,1562,1640,298
HQ24_RS22335,81,72,118,20
sdhA,1075,575,700,23003
dadX,6091,8329,5595,5182
pssA,5524,3019,3213,4011
nadK,1075,660,580,660
rsmJ,437,236,278,269
tkt,14462,2922,7967,18580
yeaV,31,22,18,65
yicH,2829,5946,5845,567
nudI,9,9,9,33
yhfS,127,74,98,43
yjjU,570,330,422,331
pifC,167,258,161,580
trpR,57,23,12,234
espL1,43,15,14,21
pyrH,379,379,254,2034
arnT,412,164,159,146
osmF,3250,4877,3570,780
rpsL,5137,11482,6812,13720
thrC,910,1758,999,1453
yafW,0,0,0,1
HQ24_RS10905,20,11,9,4
sulA,5119,3833,3805,1405
HQ24_RS06220,41,22,29,11
hcaT,100,85,58,671
mglB,1220,4166,2123,44261
aslB,31,13,20,126
adk,324,412,247,3747
hybB,43,35,33,148
ldcA,65,70,54,172
glnB,232,123,119,602
yfiE,206,151,140,239
yeaK,102,39,46,259
tcdA,166,184,146,471
mtlD,6066,3313,4560,2003
glxR,25,17,15,14
ybaQ,367,232,322,168
potC,68,34,39,470
HQ24_RS01275,1168,998,1564,260
HQ24_RS02775,153,69,86,273
HQ24_RS20250,0,0,0,4
wecB,236,115,81,1137
trxC,768,944,1400,285
ygeV,6146,3980,5574,1324
argH,905,686,463,370
dsbG,419,290,317,290
HQ24_RS10280,831,717,594,558
mltC,84,31,27,787
dgcE,7017,1121,2039,2715
trxA,2611,2569,2185,1685
ydfR,8,7,5,7
yqiB,252,280,189,416
zntR,691,649,534,251
prfH,13,15,11,4
pdeB,1114,381,564,293
mdtG,219,56,83,83
tatA,440,758,502,999
pfkB,1409,3273,2826,155
HQ24_RS22680,4,2,2,2
livK,69,50,71,1862
ompF,982,1865,1651,130931
HQ24_RS26930,2,3,1,1
yciB,991,1810,1824,517
moaD,66,15,15,72
ffs,12,12,12,7
ccdA,333,388,417,121
rclA,657,375,495,177
rsxA,47,155,73,575
cheB,70,14,15,1932
ftnA,168,155,238,787
thiQ,17,12,9,86
proX,46,24,30,281
ccmD,4,4,0,22
sxy,278,171,139,226
ycfT,4,3,5,8
HQ24_RS26080,1126,1334,1630,254
ecpD,72,30,39,74
nuoL,1816,290,516,13039
pheA,170,42,59,916
HQ24_RS26425,17,9,6,6
HQ24_RS02760,2,1,0,7
ribF,540,515,467,1378
pgaC,30,13,24,13
rpsR,215,208,146,7509
waaL,401,18,49,813
ydcS,8034,15562,12757,5979
hisS,1863,1108,1142,5335
lsrG,372,20,30,970
hsdR,506,228,287,2732
ycbJ,1245,2445,2041,208
ymgG,3,7,3,19
yohO,83,49,23,38
bisC,593,117,151,825
folC,334,246,304,1249
yhhS,163,137,128,231
mdaB,102,138,89,206
yihR,20,13,14,8
HQ24_RS13885,67,61,27,1559
dinG,292,425,318,766
dhaL,76,107,91,330
fliP,2,4,1,2462
yciU,353,461,352,212
prmB,132,260,145,1389
yihS,49,31,30,54
moaE,219,17,66,222
accD,1060,2612,1170,6639
yjjZ,797,620,692,37
clpP,3224,3248,3993,2152
mraZ,1450,1436,1433,789
parC,567,1026,773,2532
serS,2396,3118,2910,7453
yhhA,4766,4687,8604,61
cycA,5769,6239,5561,7133
erpA,1804,2602,2569,769
yagH,310,64,155,140
rpoD,8842,6872,8593,8015
rne,3409,4308,3615,10611
ridA,147,354,206,2562
frlB,96,63,77,46
ynjF,275,188,166,174
opgE,117,75,98,517
nuoG,3281,716,1181,21718
rbsC,390,88,133,1655
ompA,26721,50852,47417,61755
tabA,200,139,149,125
eutS,5,14,4,28
ygeY,53,16,22,42
rpiB,34,38,30,62
rpsK,2891,3133,1755,26549
leuS,4813,4127,3937,6088
dnaB,174,216,164,1373
astE,3066,577,2178,2234
mdtD,504,261,211,271
yihF,51,39,46,41
yjdM,1394,887,1295,207
alsR,261,243,234,488
proV,65,65,40,405
yceF,1420,1120,1137,434
alr,102,63,46,632
dacC,2948,1401,2095,1256
yaiW,479,120,164,427
HQ24_RS26180,149,115,118,705
yfaX,90,96,98,16
HQ24_RS15130,7,16,10,634
tdcE,103,112,99,124
pxpC,816,1487,923,781
rlmJ,506,428,390,515
HQ24_RS14940,200,75,63,68
HQ24_RS26710,20,13,12,16
gltX,960,1396,1037,4487
atoC,242,64,171,374
trpCF,313,319,266,2707
hcaF,36,21,23,101
ypdF,12,15,7,9
HQ24_RS12365,7,3,3,71
luxS,3278,3126,2248,1472
wcaF,6,3,1,8
HQ24_RS14710,2,3,2,1
rhsD,488,269,387,197
nrfD,12,12,11,28
fau,268,286,173,776
ygjP,66,93,54,55
HQ24_RS17400,1,1,3,18
HQ24_RS10460,283,352,312,969
rsxD,62,41,41,626
ycaC,2332,890,783,1358
hchA,11696,4475,11178,593
cecR,193,469,347,103
HQ24_RS11735,14,9,4,7
glpK,1059,719,914,1296
phrB,2257,613,633,631
pmrR,21,11,13,90
ydcJ,9085,9632,8565,3214
gfcA,7,7,13,32
HQ24_RS19090,190,130,169,69
hflK,5756,3752,3305,5377
lipA,575,1697,943,2223
livH,30,32,29,1412
rluF,143,98,85,485
thiF,70,21,41,202
yoeI,1,1,1,53
HQ24_RS03555,16,6,6,104
setB,25,19,16,91
crfC,182,163,179,972
ubiH,825,557,493,1556
xylH,243,101,168,124
greB,184,135,122,144
uxaB,311,240,212,305
xerD,591,513,454,755
ybdZ,61,10,35,60
HQ24_RS09850,28,36,21,336
rodZ,5155,10182,9485,3614
yjeI,473,537,474,916
HQ24_RS26800,43,34,28,41
adeP,80,64,45,3401
atoD,11,3,4,1
acrF,246,133,116,124
rna,1041,2036,1802,359
ycbZ,2239,2104,2625,2086
gntX,125,266,142,530
arsB,111,112,101,66
allB,123,79,93,41
HQ24_RS12405,3,4,6,78
ydaS,67,100,102,17
HQ24_RS15205,16571,14103,10007,7112
yeaY,1723,1671,1564,753
yhjV,37,29,20,135
csgA,116,102,94,51
ydcY,392,300,302,244
ynfO,3,0,1,1
amn,1520,188,470,1469
rna-HQ24_RS21025,1543,183,4429,1630
yadG,935,693,913,654
HQ24_RS14520,16,13,12,87
